30.06.2013 19:17:31: Starting interval: 3600 jobs during 3600 seconds
30.06.2013 19:17:31: second 0, jobs that second 0, active requests: 0
30.06.2013 19:50:38: second 1987, jobs that second 1, active requests: 0
30.06.2013 19:50:39: second 1988, jobs that second 1, active requests: 0
30.06.2013 19:50:40: second 1989, jobs that second 1, active requests: 0
30.06.2013 19:50:41: second 1990, jobs that second 2, active requests: 0
30.06.2013 19:50:42: second 1991, jobs that second 1, active requests: 1
30.06.2013 19:50:43: second 1992, jobs that second 2, active requests: 0
30.06.2013 19:50:44: second 1993, jobs that second 3, active requests: 1
30.06.2013 19:50:45: second 1994, jobs that second 1, active requests: 1
30.06.2013 19:50:46: second 1995, jobs that second 1, active requests: 0
30.06.2013 19:50:47: second 1996, jobs that second 0, active requests: 0
30.06.2013 19:50:48: second 1997, jobs that second 0, active requests: 0
30.06.2013 19:50:49: second 1998, jobs that second 0, active requests: 0
30.06.2013 19:50:50: second 1999, jobs that second 3, active requests: 0
30.06.2013 19:50:51: second 2000, jobs that second 2, active requests: 2
30.06.2013 19:50:52: second 2001, jobs that second 1, active requests: 1
30.06.2013 19:50:53: second 2002, jobs that second 2, active requests: 0
30.06.2013 19:50:54: second 2003, jobs that second 2, active requests: 0
30.06.2013 19:50:55: second 2004, jobs that second 0, active requests: 0
30.06.2013 19:50:56: second 2005, jobs that second 0, active requests: 0
30.06.2013 19:50:57: second 2006, jobs that second 2, active requests: 0
30.06.2013 19:50:58: second 2007, jobs that second 2, active requests: 1
30.06.2013 19:50:59: second 2008, jobs that second 1, active requests: 1
30.06.2013 19:51:00: second 2009, jobs that second 0, active requests: 0
30.06.2013 19:51:01: second 2010, jobs that second 1, active requests: 0
30.06.2013 19:51:02: second 2011, jobs that second 2, active requests: 0
30.06.2013 19:51:03: second 2012, jobs that second 0, active requests: 0
30.06.2013 19:51:04: second 2013, jobs that second 4, active requests: 0
30.06.2013 19:51:05: second 2014, jobs that second 4, active requests: 1
30.06.2013 19:51:06: second 2015, jobs that second 0, active requests: 1
30.06.2013 19:51:07: second 2016, jobs that second 0, active requests: 0
30.06.2013 19:51:08: second 2017, jobs that second 1, active requests: 0
30.06.2013 19:51:09: second 2018, jobs that second 0, active requests: 0
30.06.2013 19:51:10: second 2019, jobs that second 1, active requests: 0
30.06.2013 19:51:11: second 2020, jobs that second 0, active requests: 0
30.06.2013 19:51:12: second 2021, jobs that second 1, active requests: 0
30.06.2013 19:51:13: second 2022, jobs that second 0, active requests: 0
30.06.2013 19:51:14: second 2023, jobs that second 0, active requests: 0
30.06.2013 19:51:15: second 2024, jobs that second 1, active requests: 0
30.06.2013 19:51:16: second 2025, jobs that second 2, active requests: 1
30.06.2013 19:51:17: second 2026, jobs that second 1, active requests: 1
30.06.2013 19:51:18: second 2027, jobs that second 1, active requests: 0
30.06.2013 19:51:19: second 2028, jobs that second 0, active requests: 0
30.06.2013 19:51:20: second 2029, jobs that second 1, active requests: 0
30.06.2013 19:51:21: second 2030, jobs that second 1, active requests: 0
30.06.2013 19:51:22: second 2031, jobs that second 1, active requests: 0
30.06.2013 19:51:23: second 2032, jobs that second 0, active requests: 0
30.06.2013 19:51:24: second 2033, jobs that second 1, active requests: 0
30.06.2013 19:51:25: second 2034, jobs that second 1, active requests: 0
30.06.2013 19:51:26: second 2035, jobs that second 4, active requests: 1
30.06.2013 19:51:27: second 2036, jobs that second 0, active requests: 1
30.06.2013 19:51:28: second 2037, jobs that second 2, active requests: 0
30.06.2013 19:51:29: second 2038, jobs that second 0, active requests: 0
30.06.2013 19:51:30: second 2039, jobs that second 0, active requests: 0
30.06.2013 19:51:31: second 2040, jobs that second 0, active requests: 0
30.06.2013 19:51:32: second 2041, jobs that second 0, active requests: 0
30.06.2013 19:51:33: second 2042, jobs that second 0, active requests: 0
30.06.2013 19:51:34: second 2043, jobs that second 2, active requests: 0
30.06.2013 19:51:35: second 2044, jobs that second 0, active requests: 0
30.06.2013 19:51:36: second 2045, jobs that second 2, active requests: 0
30.06.2013 19:51:37: second 2046, jobs that second 1, active requests: 1
30.06.2013 19:51:38: second 2047, jobs that second 2, active requests: 1
30.06.2013 19:51:39: second 2048, jobs that second 1, active requests: 1
30.06.2013 19:51:40: second 2049, jobs that second 0, active requests: 0
30.06.2013 19:51:41: second 2050, jobs that second 2, active requests: 0
30.06.2013 19:51:42: second 2051, jobs that second 0, active requests: 0
30.06.2013 19:51:43: second 2052, jobs that second 2, active requests: 0
30.06.2013 19:51:44: second 2053, jobs that second 0, active requests: 1
30.06.2013 19:51:45: second 2054, jobs that second 1, active requests: 0
30.06.2013 19:51:46: second 2055, jobs that second 2, active requests: 0
30.06.2013 19:51:47: second 2056, jobs that second 0, active requests: 1
30.06.2013 19:51:48: second 2057, jobs that second 1, active requests: 0
30.06.2013 19:51:49: second 2058, jobs that second 1, active requests: 1
30.06.2013 19:51:50: second 2059, jobs that second 1, active requests: 0
30.06.2013 19:51:51: second 2060, jobs that second 1, active requests: 0
30.06.2013 19:51:52: second 2061, jobs that second 0, active requests: 0
30.06.2013 19:51:53: second 2062, jobs that second 2, active requests: 0
30.06.2013 19:51:54: second 2063, jobs that second 1, active requests: 0
30.06.2013 19:51:55: second 2064, jobs that second 1, active requests: 0
30.06.2013 19:51:56: second 2065, jobs that second 2, active requests: 1
30.06.2013 19:51:57: second 2066, jobs that second 0, active requests: 1
30.06.2013 19:51:58: second 2067, jobs that second 2, active requests: 0
30.06.2013 19:51:59: second 2068, jobs that second 0, active requests: 0
30.06.2013 19:52:00: second 2069, jobs that second 1, active requests: 0
30.06.2013 19:52:01: second 2070, jobs that second 0, active requests: 0
30.06.2013 19:52:02: second 2071, jobs that second 0, active requests: 0
30.06.2013 19:52:03: second 2072, jobs that second 0, active requests: 0
30.06.2013 19:52:04: second 2073, jobs that second 3, active requests: 0
30.06.2013 19:52:05: second 2074, jobs that second 2, active requests: 0
30.06.2013 19:52:06: second 2075, jobs that second 1, active requests: 1
30.06.2013 19:52:07: second 2076, jobs that second 0, active requests: 1
30.06.2013 19:52:08: second 2077, jobs that second 1, active requests: 0
30.06.2013 19:52:09: second 2078, jobs that second 1, active requests: 0
30.06.2013 19:52:10: second 2079, jobs that second 0, active requests: 0
30.06.2013 19:52:11: second 2080, jobs that second 1, active requests: 0
30.06.2013 19:52:12: second 2081, jobs that second 1, active requests: 0
30.06.2013 19:52:13: second 2082, jobs that second 0, active requests: 0
30.06.2013 19:52:14: second 2083, jobs that second 0, active requests: 0
30.06.2013 19:52:15: second 2084, jobs that second 1, active requests: 0
30.06.2013 19:52:16: second 2085, jobs that second 0, active requests: 0
30.06.2013 19:52:17: second 2086, jobs that second 1, active requests: 0
30.06.2013 19:52:18: second 2087, jobs that second 0, active requests: 0
30.06.2013 19:52:19: second 2088, jobs that second 2, active requests: 0
30.06.2013 19:52:20: second 2089, jobs that second 1, active requests: 1
30.06.2013 19:52:21: second 2090, jobs that second 0, active requests: 1
30.06.2013 19:52:22: second 2091, jobs that second 3, active requests: 0
30.06.2013 19:52:23: second 2092, jobs that second 2, active requests: 0
30.06.2013 19:52:24: second 2093, jobs that second 2, active requests: 0
30.06.2013 19:52:25: second 2094, jobs that second 1, active requests: 1
30.06.2013 19:52:26: second 2095, jobs that second 2, active requests: 0
30.06.2013 19:52:27: second 2096, jobs that second 4, active requests: 1
30.06.2013 19:52:28: second 2097, jobs that second 1, active requests: 0
30.06.2013 19:52:29: second 2098, jobs that second 0, active requests: 0
30.06.2013 19:52:30: second 2099, jobs that second 1, active requests: 0
30.06.2013 19:52:31: second 2100, jobs that second 3, active requests: 1
30.06.2013 19:52:32: second 2101, jobs that second 1, active requests: 1
30.06.2013 19:52:33: second 2102, jobs that second 1, active requests: 1
30.06.2013 19:52:34: second 2103, jobs that second 0, active requests: 0
30.06.2013 19:52:35: second 2104, jobs that second 0, active requests: 0
30.06.2013 19:52:36: second 2105, jobs that second 1, active requests: 0
30.06.2013 19:52:37: second 2106, jobs that second 0, active requests: 0
30.06.2013 19:52:38: second 2107, jobs that second 0, active requests: 0
30.06.2013 19:52:39: second 2108, jobs that second 1, active requests: 0
30.06.2013 19:52:40: second 2109, jobs that second 1, active requests: 0
30.06.2013 19:52:41: second 2110, jobs that second 2, active requests: 0
30.06.2013 19:52:42: second 2111, jobs that second 2, active requests: 1
30.06.2013 19:52:43: second 2112, jobs that second 1, active requests: 1
30.06.2013 19:52:44: second 2113, jobs that second 1, active requests: 1
30.06.2013 19:52:45: second 2114, jobs that second 0, active requests: 0
30.06.2013 19:52:46: second 2115, jobs that second 1, active requests: 0
30.06.2013 19:52:47: second 2116, jobs that second 0, active requests: 0
30.06.2013 19:52:48: second 2117, jobs that second 0, active requests: 0
30.06.2013 19:52:49: second 2118, jobs that second 0, active requests: 0
30.06.2013 19:52:50: second 2119, jobs that second 1, active requests: 0
30.06.2013 19:52:51: second 2120, jobs that second 2, active requests: 0
30.06.2013 19:52:52: second 2121, jobs that second 1, active requests: 0
30.06.2013 19:52:53: second 2122, jobs that second 1, active requests: 0
30.06.2013 19:52:54: second 2123, jobs that second 2, active requests: 1
30.06.2013 19:52:55: second 2124, jobs that second 3, active requests: 1
30.06.2013 19:52:56: second 2125, jobs that second 0, active requests: 0
30.06.2013 19:52:57: second 2126, jobs that second 1, active requests: 0
30.06.2013 19:52:58: second 2127, jobs that second 0, active requests: 0
30.06.2013 19:52:59: second 2128, jobs that second 1, active requests: 0
30.06.2013 19:53:00: second 2129, jobs that second 0, active requests: 0
30.06.2013 19:53:01: second 2130, jobs that second 0, active requests: 0
30.06.2013 19:53:02: second 2131, jobs that second 2, active requests: 0
30.06.2013 19:53:03: second 2132, jobs that second 0, active requests: 1
30.06.2013 19:53:04: second 2133, jobs that second 1, active requests: 0
30.06.2013 19:53:05: second 2134, jobs that second 1, active requests: 0
30.06.2013 19:53:06: second 2135, jobs that second 1, active requests: 1
30.06.2013 19:53:07: second 2136, jobs that second 1, active requests: 0
30.06.2013 19:53:08: second 2137, jobs that second 1, active requests: 0
30.06.2013 19:53:09: second 2138, jobs that second 2, active requests: 0
30.06.2013 19:53:10: second 2139, jobs that second 0, active requests: 0
30.06.2013 19:53:11: second 2140, jobs that second 1, active requests: 0
30.06.2013 19:53:12: second 2141, jobs that second 1, active requests: 0
30.06.2013 19:53:13: second 2142, jobs that second 0, active requests: 1
30.06.2013 19:53:14: second 2143, jobs that second 0, active requests: 0
30.06.2013 19:53:15: second 2144, jobs that second 1, active requests: 0
30.06.2013 19:53:16: second 2145, jobs that second 3, active requests: 0
30.06.2013 19:53:17: second 2146, jobs that second 3, active requests: 1
30.06.2013 19:53:18: second 2147, jobs that second 0, active requests: 0
30.06.2013 19:53:19: second 2148, jobs that second 0, active requests: 0
30.06.2013 19:53:20: second 2149, jobs that second 1, active requests: 0
30.06.2013 19:53:21: second 2150, jobs that second 0, active requests: 0
30.06.2013 19:53:22: second 2151, jobs that second 1, active requests: 0
30.06.2013 19:53:23: second 2152, jobs that second 1, active requests: 1
30.06.2013 19:53:24: second 2153, jobs that second 2, active requests: 0
30.06.2013 19:53:25: second 2154, jobs that second 1, active requests: 1
30.06.2013 19:53:26: second 2155, jobs that second 0, active requests: 0
30.06.2013 19:53:27: second 2156, jobs that second 1, active requests: 0
30.06.2013 19:53:28: second 2157, jobs that second 1, active requests: 0
30.06.2013 19:53:29: second 2158, jobs that second 2, active requests: 0
30.06.2013 19:53:30: second 2159, jobs that second 1, active requests: 0
30.06.2013 19:53:31: second 2160, jobs that second 3, active requests: 1
30.06.2013 19:53:32: second 2161, jobs that second 1, active requests: 1
30.06.2013 19:53:33: second 2162, jobs that second 0, active requests: 1
30.06.2013 19:53:34: second 2163, jobs that second 2, active requests: 0
30.06.2013 19:53:35: second 2164, jobs that second 0, active requests: 0
30.06.2013 19:53:36: second 2165, jobs that second 1, active requests: 0
30.06.2013 19:53:37: second 2166, jobs that second 2, active requests: 0
30.06.2013 19:53:38: second 2167, jobs that second 0, active requests: 1
30.06.2013 19:53:39: second 2168, jobs that second 1, active requests: 0
30.06.2013 19:53:40: second 2169, jobs that second 0, active requests: 0
30.06.2013 19:53:41: second 2170, jobs that second 0, active requests: 0
30.06.2013 19:53:42: second 2171, jobs that second 1, active requests: 0
30.06.2013 19:53:43: second 2172, jobs that second 2, active requests: 1
30.06.2013 19:53:44: second 2173, jobs that second 2, active requests: 1
30.06.2013 19:53:45: second 2174, jobs that second 1, active requests: 0
30.06.2013 19:53:46: second 2175, jobs that second 0, active requests: 0
30.06.2013 19:53:47: second 2176, jobs that second 1, active requests: 0
30.06.2013 19:53:48: second 2177, jobs that second 1, active requests: 0
30.06.2013 19:53:49: second 2178, jobs that second 1, active requests: 1
30.06.2013 19:53:50: second 2179, jobs that second 2, active requests: 0
30.06.2013 19:53:51: second 2180, jobs that second 1, active requests: 1
30.06.2013 19:53:52: second 2181, jobs that second 1, active requests: 1
30.06.2013 19:53:53: second 2182, jobs that second 2, active requests: 0
30.06.2013 19:53:54: second 2183, jobs that second 0, active requests: 0
30.06.2013 19:53:55: second 2184, jobs that second 1, active requests: 0
30.06.2013 19:53:56: second 2185, jobs that second 0, active requests: 0
30.06.2013 19:53:57: second 2186, jobs that second 0, active requests: 0
30.06.2013 19:53:58: second 2187, jobs that second 0, active requests: 0
30.06.2013 19:53:59: second 2188, jobs that second 4, active requests: 0
30.06.2013 19:54:00: second 2189, jobs that second 0, active requests: 1
30.06.2013 19:54:01: second 2190, jobs that second 0, active requests: 0
30.06.2013 19:54:02: second 2191, jobs that second 0, active requests: 0
30.06.2013 19:54:03: second 2192, jobs that second 2, active requests: 0
30.06.2013 19:54:04: second 2193, jobs that second 0, active requests: 1
30.06.2013 19:54:05: second 2194, jobs that second 0, active requests: 0
30.06.2013 19:54:06: second 2195, jobs that second 0, active requests: 0
30.06.2013 19:54:07: second 2196, jobs that second 0, active requests: 0
30.06.2013 19:54:08: second 2197, jobs that second 1, active requests: 0
30.06.2013 19:54:09: second 2198, jobs that second 0, active requests: 0
30.06.2013 19:54:10: second 2199, jobs that second 2, active requests: 0
30.06.2013 19:54:11: second 2200, jobs that second 1, active requests: 0
30.06.2013 19:54:12: second 2201, jobs that second 1, active requests: 0
30.06.2013 19:54:13: second 2202, jobs that second 1, active requests: 0
30.06.2013 19:54:14: second 2203, jobs that second 1, active requests: 1
30.06.2013 19:54:15: second 2204, jobs that second 1, active requests: 0
30.06.2013 19:54:16: second 2205, jobs that second 1, active requests: 1
30.06.2013 19:54:17: second 2206, jobs that second 1, active requests: 0
30.06.2013 19:54:18: second 2207, jobs that second 3, active requests: 0
30.06.2013 19:54:19: second 2208, jobs that second 0, active requests: 0
30.06.2013 19:54:20: second 2209, jobs that second 0, active requests: 0
30.06.2013 19:54:21: second 2210, jobs that second 3, active requests: 0
30.06.2013 19:54:22: second 2211, jobs that second 0, active requests: 1
30.06.2013 19:54:23: second 2212, jobs that second 0, active requests: 0
30.06.2013 19:54:24: second 2213, jobs that second 0, active requests: 0
30.06.2013 19:54:25: second 2214, jobs that second 0, active requests: 0
30.06.2013 19:54:26: second 2215, jobs that second 1, active requests: 0
30.06.2013 19:54:27: second 2216, jobs that second 2, active requests: 1
30.06.2013 19:54:28: second 2217, jobs that second 0, active requests: 0
30.06.2013 19:54:29: second 2218, jobs that second 1, active requests: 0
30.06.2013 19:54:30: second 2219, jobs that second 0, active requests: 0
30.06.2013 19:54:31: second 2220, jobs that second 2, active requests: 0
30.06.2013 19:54:32: second 2221, jobs that second 0, active requests: 0
30.06.2013 19:54:33: second 2222, jobs that second 0, active requests: 0
30.06.2013 19:54:34: second 2223, jobs that second 0, active requests: 0
30.06.2013 19:54:35: second 2224, jobs that second 0, active requests: 0
30.06.2013 19:54:36: second 2225, jobs that second 1, active requests: 0
30.06.2013 19:54:37: second 2226, jobs that second 1, active requests: 0
30.06.2013 19:54:38: second 2227, jobs that second 1, active requests: 1
30.06.2013 19:54:39: second 2228, jobs that second 2, active requests: 0
30.06.2013 19:54:40: second 2229, jobs that second 0, active requests: 1
30.06.2013 19:54:41: second 2230, jobs that second 1, active requests: 0
30.06.2013 19:54:42: second 2231, jobs that second 1, active requests: 0
30.06.2013 19:54:43: second 2232, jobs that second 0, active requests: 0
30.06.2013 19:54:44: second 2233, jobs that second 3, active requests: 0
30.06.2013 19:54:45: second 2234, jobs that second 0, active requests: 0
30.06.2013 19:54:46: second 2235, jobs that second 0, active requests: 0
30.06.2013 19:54:47: second 2236, jobs that second 0, active requests: 0
30.06.2013 19:54:48: second 2237, jobs that second 1, active requests: 0
30.06.2013 19:54:49: second 2238, jobs that second 0, active requests: 1
30.06.2013 19:54:50: second 2239, jobs that second 1, active requests: 0
30.06.2013 19:54:51: second 2240, jobs that second 3, active requests: 0
30.06.2013 19:54:52: second 2241, jobs that second 3, active requests: 2
30.06.2013 19:54:53: second 2242, jobs that second 1, active requests: 0
30.06.2013 19:54:54: second 2243, jobs that second 3, active requests: 0
30.06.2013 19:54:55: second 2244, jobs that second 3, active requests: 2
30.06.2013 19:54:56: second 2245, jobs that second 3, active requests: 1
30.06.2013 19:54:57: second 2246, jobs that second 2, active requests: 0
30.06.2013 19:54:58: second 2247, jobs that second 0, active requests: 0
30.06.2013 19:54:59: second 2248, jobs that second 0, active requests: 0
30.06.2013 19:55:00: second 2249, jobs that second 1, active requests: 0
30.06.2013 19:55:01: second 2250, jobs that second 1, active requests: 1
30.06.2013 19:55:02: second 2251, jobs that second 3, active requests: 0
30.06.2013 19:55:03: second 2252, jobs that second 2, active requests: 1
30.06.2013 19:55:04: second 2253, jobs that second 0, active requests: 0
30.06.2013 19:55:05: second 2254, jobs that second 0, active requests: 0
30.06.2013 19:55:06: second 2255, jobs that second 1, active requests: 0
30.06.2013 19:55:07: second 2256, jobs that second 2, active requests: 0
30.06.2013 19:55:08: second 2257, jobs that second 0, active requests: 1
30.06.2013 19:55:09: second 2258, jobs that second 0, active requests: 0
30.06.2013 19:55:10: second 2259, jobs that second 2, active requests: 0
30.06.2013 19:55:11: second 2260, jobs that second 1, active requests: 1
30.06.2013 19:55:12: second 2261, jobs that second 0, active requests: 0
30.06.2013 19:55:13: second 2262, jobs that second 1, active requests: 0
30.06.2013 19:55:14: second 2263, jobs that second 2, active requests: 0
30.06.2013 19:55:15: second 2264, jobs that second 0, active requests: 0
30.06.2013 19:55:16: second 2265, jobs that second 0, active requests: 0
30.06.2013 19:55:17: second 2266, jobs that second 0, active requests: 0
30.06.2013 19:55:18: second 2267, jobs that second 1, active requests: 0
30.06.2013 19:55:19: second 2268, jobs that second 0, active requests: 0
30.06.2013 19:55:20: second 2269, jobs that second 0, active requests: 0
30.06.2013 19:55:21: second 2270, jobs that second 0, active requests: 0
30.06.2013 19:55:22: second 2271, jobs that second 1, active requests: 0
30.06.2013 19:55:23: second 2272, jobs that second 0, active requests: 0
30.06.2013 19:55:24: second 2273, jobs that second 2, active requests: 0
30.06.2013 19:55:25: second 2274, jobs that second 0, active requests: 1
30.06.2013 19:55:26: second 2275, jobs that second 0, active requests: 0
30.06.2013 19:55:27: second 2276, jobs that second 1, active requests: 0
30.06.2013 19:55:28: second 2277, jobs that second 0, active requests: 1
30.06.2013 19:55:29: second 2278, jobs that second 1, active requests: 0
30.06.2013 19:55:30: second 2279, jobs that second 1, active requests: 0
30.06.2013 19:55:31: second 2280, jobs that second 2, active requests: 0
30.06.2013 19:55:32: second 2281, jobs that second 1, active requests: 0
30.06.2013 19:55:33: second 2282, jobs that second 2, active requests: 0
30.06.2013 19:55:34: second 2283, jobs that second 4, active requests: 1
30.06.2013 19:55:35: second 2284, jobs that second 3, active requests: 1
30.06.2013 19:55:36: second 2285, jobs that second 0, active requests: 0
30.06.2013 19:55:37: second 2286, jobs that second 3, active requests: 0
30.06.2013 19:55:38: second 2287, jobs that second 2, active requests: 1
30.06.2013 19:55:39: second 2288, jobs that second 1, active requests: 1
30.06.2013 19:55:40: second 2289, jobs that second 0, active requests: 1
30.06.2013 19:55:41: second 2290, jobs that second 3, active requests: 0
30.06.2013 19:55:42: second 2291, jobs that second 1, active requests: 0
30.06.2013 19:55:43: second 2292, jobs that second 1, active requests: 0
30.06.2013 19:55:44: second 2293, jobs that second 0, active requests: 1
30.06.2013 19:55:45: second 2294, jobs that second 2, active requests: 0
30.06.2013 19:55:46: second 2295, jobs that second 0, active requests: 1
30.06.2013 19:55:47: second 2296, jobs that second 3, active requests: 0
30.06.2013 19:55:48: second 2297, jobs that second 2, active requests: 1
30.06.2013 19:55:49: second 2298, jobs that second 0, active requests: 0
30.06.2013 19:55:50: second 2299, jobs that second 3, active requests: 0
30.06.2013 19:55:51: second 2300, jobs that second 1, active requests: 0
30.06.2013 19:55:52: second 2301, jobs that second 2, active requests: 1
30.06.2013 19:55:53: second 2302, jobs that second 1, active requests: 1
30.06.2013 19:55:54: second 2303, jobs that second 3, active requests: 0
30.06.2013 19:55:55: second 2304, jobs that second 1, active requests: 0
30.06.2013 19:55:56: second 2305, jobs that second 1, active requests: 0
30.06.2013 19:55:57: second 2306, jobs that second 0, active requests: 0
30.06.2013 19:55:58: second 2307, jobs that second 2, active requests: 0
30.06.2013 19:55:59: second 2308, jobs that second 0, active requests: 1
30.06.2013 19:56:00: second 2309, jobs that second 5, active requests: 0
30.06.2013 19:56:01: second 2310, jobs that second 0, active requests: 1
30.06.2013 19:56:02: second 2311, jobs that second 1, active requests: 0
30.06.2013 19:56:03: second 2312, jobs that second 0, active requests: 0
30.06.2013 19:56:04: second 2313, jobs that second 1, active requests: 0
30.06.2013 19:56:05: second 2314, jobs that second 1, active requests: 0
30.06.2013 19:56:06: second 2315, jobs that second 1, active requests: 1
30.06.2013 19:56:07: second 2316, jobs that second 4, active requests: 0
30.06.2013 19:56:08: second 2317, jobs that second 1, active requests: 1
30.06.2013 19:56:09: second 2318, jobs that second 1, active requests: 0
30.06.2013 19:56:10: second 2319, jobs that second 0, active requests: 0
30.06.2013 19:56:11: second 2320, jobs that second 0, active requests: 0
30.06.2013 19:56:12: second 2321, jobs that second 1, active requests: 0
30.06.2013 19:56:13: second 2322, jobs that second 1, active requests: 0
30.06.2013 19:56:14: second 2323, jobs that second 2, active requests: 1
30.06.2013 19:56:15: second 2324, jobs that second 1, active requests: 1
30.06.2013 19:56:16: second 2325, jobs that second 0, active requests: 0
30.06.2013 19:56:17: second 2326, jobs that second 1, active requests: 0
30.06.2013 19:56:18: second 2327, jobs that second 1, active requests: 0
30.06.2013 19:56:19: second 2328, jobs that second 0, active requests: 0
30.06.2013 19:56:20: second 2329, jobs that second 4, active requests: 0
30.06.2013 19:56:21: second 2330, jobs that second 1, active requests: 1
30.06.2013 19:56:22: second 2331, jobs that second 1, active requests: 0
30.06.2013 19:56:23: second 2332, jobs that second 1, active requests: 1
30.06.2013 19:56:24: second 2333, jobs that second 0, active requests: 0
30.06.2013 19:56:25: second 2334, jobs that second 2, active requests: 0
30.06.2013 19:56:26: second 2335, jobs that second 0, active requests: 1
30.06.2013 19:56:27: second 2336, jobs that second 1, active requests: 0
30.06.2013 19:56:28: second 2337, jobs that second 1, active requests: 0
30.06.2013 19:56:29: second 2338, jobs that second 2, active requests: 0
30.06.2013 19:56:30: second 2339, jobs that second 1, active requests: 1
30.06.2013 19:56:31: second 2340, jobs that second 1, active requests: 0
30.06.2013 19:56:32: second 2341, jobs that second 2, active requests: 1
30.06.2013 19:56:33: second 2342, jobs that second 2, active requests: 1
30.06.2013 19:56:34: second 2343, jobs that second 2, active requests: 0
30.06.2013 19:56:35: second 2344, jobs that second 1, active requests: 0
30.06.2013 19:56:36: second 2345, jobs that second 0, active requests: 0
30.06.2013 19:56:37: second 2346, jobs that second 2, active requests: 0
30.06.2013 19:56:38: second 2347, jobs that second 1, active requests: 1
30.06.2013 19:56:39: second 2348, jobs that second 0, active requests: 0
30.06.2013 19:56:40: second 2349, jobs that second 1, active requests: 0
30.06.2013 19:56:41: second 2350, jobs that second 0, active requests: 1
30.06.2013 19:56:42: second 2351, jobs that second 0, active requests: 0
30.06.2013 19:56:43: second 2352, jobs that second 2, active requests: 0
30.06.2013 19:56:44: second 2353, jobs that second 2, active requests: 0
30.06.2013 19:56:45: second 2354, jobs that second 2, active requests: 0
30.06.2013 19:56:46: second 2355, jobs that second 1, active requests: 0
30.06.2013 19:56:47: second 2356, jobs that second 1, active requests: 1
30.06.2013 19:56:48: second 2357, jobs that second 0, active requests: 0
30.06.2013 19:56:49: second 2358, jobs that second 0, active requests: 0
30.06.2013 19:56:50: second 2359, jobs that second 2, active requests: 0
30.06.2013 19:56:51: second 2360, jobs that second 2, active requests: 1
30.06.2013 19:56:52: second 2361, jobs that second 0, active requests: 0
30.06.2013 19:56:53: second 2362, jobs that second 0, active requests: 0
30.06.2013 19:56:54: second 2363, jobs that second 0, active requests: 0
30.06.2013 19:56:55: second 2364, jobs that second 1, active requests: 0
30.06.2013 19:56:56: second 2365, jobs that second 3, active requests: 0
30.06.2013 19:56:57: second 2366, jobs that second 0, active requests: 1
30.06.2013 19:56:58: second 2367, jobs that second 0, active requests: 0
30.06.2013 19:56:59: second 2368, jobs that second 2, active requests: 0
30.06.2013 19:57:00: second 2369, jobs that second 0, active requests: 1
30.06.2013 19:57:01: second 2370, jobs that second 1, active requests: 0
30.06.2013 19:57:02: second 2371, jobs that second 0, active requests: 0
30.06.2013 19:57:03: second 2372, jobs that second 1, active requests: 0
30.06.2013 19:57:04: second 2373, jobs that second 0, active requests: 0
30.06.2013 19:57:05: second 2374, jobs that second 0, active requests: 0
30.06.2013 19:57:06: second 2375, jobs that second 1, active requests: 0
30.06.2013 19:57:07: second 2376, jobs that second 0, active requests: 0
30.06.2013 19:57:08: second 2377, jobs that second 1, active requests: 0
30.06.2013 19:57:09: second 2378, jobs that second 1, active requests: 0
30.06.2013 19:57:10: second 2379, jobs that second 1, active requests: 0
30.06.2013 19:57:11: second 2380, jobs that second 0, active requests: 0
30.06.2013 19:57:12: second 2381, jobs that second 4, active requests: 0
30.06.2013 19:57:13: second 2382, jobs that second 2, active requests: 2
30.06.2013 19:57:14: second 2383, jobs that second 2, active requests: 0
30.06.2013 19:57:15: second 2384, jobs that second 1, active requests: 0
30.06.2013 19:57:16: second 2385, jobs that second 2, active requests: 0
30.06.2013 19:57:17: second 2386, jobs that second 2, active requests: 1
30.06.2013 19:57:18: second 2387, jobs that second 1, active requests: 1
30.06.2013 19:57:19: second 2388, jobs that second 2, active requests: 1
30.06.2013 19:57:20: second 2389, jobs that second 0, active requests: 0
30.06.2013 19:57:21: second 2390, jobs that second 1, active requests: 0
30.06.2013 19:57:22: second 2391, jobs that second 2, active requests: 0
30.06.2013 19:57:23: second 2392, jobs that second 0, active requests: 1
30.06.2013 19:57:24: second 2393, jobs that second 1, active requests: 0
30.06.2013 19:57:25: second 2394, jobs that second 0, active requests: 0
30.06.2013 19:57:26: second 2395, jobs that second 0, active requests: 0
30.06.2013 19:57:27: second 2396, jobs that second 0, active requests: 0
30.06.2013 19:57:28: second 2397, jobs that second 2, active requests: 0
30.06.2013 19:57:29: second 2398, jobs that second 1, active requests: 1
30.06.2013 19:57:30: second 2399, jobs that second 1, active requests: 1
30.06.2013 19:57:31: second 2400, jobs that second 3, active requests: 0
30.06.2013 19:57:32: second 2401, jobs that second 2, active requests: 0
30.06.2013 19:57:33: second 2402, jobs that second 1, active requests: 0
30.06.2013 19:57:34: second 2403, jobs that second 1, active requests: 1
30.06.2013 19:57:35: second 2404, jobs that second 0, active requests: 0
30.06.2013 19:57:36: second 2405, jobs that second 2, active requests: 0
30.06.2013 19:57:37: second 2406, jobs that second 1, active requests: 1
30.06.2013 19:57:38: second 2407, jobs that second 3, active requests: 0
30.06.2013 19:57:39: second 2408, jobs that second 0, active requests: 0
